"num","productNum","billToName","qty","qtyonhand","QTYONORDERPO","QTYONORDERTO","qtyonordertotal","soitemstatusId","sostatusId","pickitemstatusId","soitemtypeId","dateLastModified","note"
"204768 - Perth Airport","HIK-DS-2CD5A46G0-IZS 2.8-12","SECURITY MANAGEMENT",,"2.0","58.0","9.0","67.0","10","20",,"12","2020-07-24 13:26:47.277",
"204768 - Perth Airport","HIK-DS-2CD5546G0-IZS 2.8-12mm","SECURITY MANAGEMENT",,"13.0","49.0","0.0","49.0","10","20",,"12","2020-07-24 13:26:47.254",
"206738","HIK-DS-2CD2765G0-IZS","TECH WEST","2.000000000","6.0","338.0","0.0","338.0","10","25","10","10","2020-08-27 13:06:34.134","E59371861/
E59371870/
E59371882/
E59371913/
E59371917/
E59371889/
E59371880/
E59371862/
E59371856/
E59371887/
E59371884/
E59371919/
E59371928/
E59371914/
E59371886/
E59371881/
E59371851/
E59371898/
E59371912/
E38100010/
E38100061"
"206738","HIK-DS-2CD2765G0-IZS","TECH WEST","5.000000000","6.0","338.0","0.0","338.0","10","25","10","10","2020-08-27 13:06:34.134","E59371861/
E59371870/
E59371882/
E59371913/
E59371917/
E59371889/
E59371880/
E59371862/
E59371856/
E59371887/
E59371884/
E59371919/
E59371928/
E59371914/
E59371886/
E59371881/
E59371851/
E59371898/
E59371912/
E38100010/
E38100061"
"206738","HIK-DS-2CD2765G0-IZS","TECH WEST","14.000000000","6.0","338.0","0.0","338.0","10","25","5","10","2020-08-27 13:06:34.134","E59371861/
E59371870/
E59371882/
E59371913/
E59371917/
E59371889/
E59371880/
E59371862/
E59371856/
E59371887/
E59371884/
E59371919/
E59371928/
E59371914/
E59371886/
E59371881/
E59371851/
E59371898/
E59371912/
E38100010/
E38100061"
"206738","HIK-DS-2CD2765G1-IZS","TECH WEST","20.000000000","134.0","112.0","80.0","192.0","10","25","10","10","2020-08-19 16:30:24.487","E35489679/
E35489681/
E35489686/
E35489682/
E35489680/
E35489683/
E35489677/
E35489678/
E42203618/
E42203645/
E42203666/
E42203693/
E42203718/
E42203679/
E42203664/
E42203620/
D59096572/
E23157409/
D79352041/
D59096498
"
"206738","HIK-DS-2DF8225IX-AEL","TECH WEST","2.000000000","2.0","1.0","0.0","1.0","20","25","30","10","2020-09-02 18:19:39.242","D84033582, D84033581"
"206738","HIK-DS-2DF8225IX-AEL","TECH WEST","1.000000000","2.0","1.0","0.0","1.0","20","25","40","10","2020-09-02 18:19:39.242","D84033582, D84033581"
"206738","BRA-1619ZJ","TECH WEST","1.000000000","0.0","1.0","0.0","1.0","30","25","40","10","2020-08-19 16:30:24.559",
"206738","BRA-1619ZJ","TECH WEST","1.000000000","0.0","1.0","0.0","1.0","30","25","5","10","2020-08-19 16:30:24.559",
"206738","HIK-DS-2CD2765G1-IZS","TECH WEST","17.000000000","134.0","112.0","80.0","192.0","20","25","30","10","2020-09-02 18:19:39.277","D79352025/
E42203628/
E42203671/
E42203684/
E42203688/
E42203705/
E42203687/
E42203673/
E42203630/
E42203624/
E42203631/
E42203644/
E42203723/
E42203726/
E42203680/
E42203635/
E42203627"
"206738","BRA-1280ZJ-DM55","TECH WEST","13.000000000","81.0","40.0","0.0","40.0","20","25","30","10","2020-09-02 18:19:39.265",
"206738","BRA-1280ZJ-DM55","TECH WEST","4.000000000","81.0","40.0","0.0","40.0","20","25","30","10","2020-09-02 18:19:39.265",
"206804","DELL-WORKSTATION-R3930","BLUE FORCE PTY LTD","1.000000000","1.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:22:18.133","57KTG53"
"206804","ION-FEBM-720","BLUE FORCE PTY LTD","1.000000000","4.0","64.0","0.0","64.0","10","25","11","10","2020-08-27 17:17:20.561",
"206804","ION-F16-AS400","BLUE FORCE PTY LTD","1.000000000","5.0","40.0","12.0","52.0","10","25","10","10","2020-08-27 17:17:20.549",
"206804","HIK-DS-2CD2765G1-IZS","BLUE FORCE PTY LTD","11.000000000","134.0","112.0","80.0","192.0","20","25","30","10","2020-09-02 16:22:18.148",
"206804","ATEN-CL6708MW","BLUE FORCE PTY LTD","1.000000000","0.0","1.0","0.0","1.0","10","25","5","10","2020-08-27 17:17:20.564",
"206804","AVIGILON-R540-STD-48TB","BLUE FORCE PTY LTD","1.000000000","1.0","0.0","0.0","0.0","10","25","11","10","2020-08-27 17:17:20.526",
"206804","ION-F16-2000","BLUE FORCE PTY LTD","1.000000000","15.0","8.0","0.0","8.0","10","25","10","10","2020-08-27 17:17:20.557",
"207058","IEC-CAB1AD100","SURROUND SOUNDS","3.000000000","52.0","0.0","0.0","0.0","30","25","40","10","2020-09-02 12:56:16.433",
"207058","IEC-CAB1AD100","SURROUND SOUNDS","1.000000000","52.0","0.0","0.0","0.0","30","25","10","10","2020-09-02 12:56:16.433",
"207277","HIK-DS-2CD2051G1-IDW1-2","Ryan Banks","1.000000000","0.0","1.0","0.0","1.0","10","20","5","10","2020-07-10 15:14:50.566",
"207596","MON-LG-43SM5KE-B","SECUREX SYSTEMS & SERVICES","2.000000000","2.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.943","XIT49558 2 x GO, 1 x OIC"
"207596","TIXX-AR400","SECUREX SYSTEMS & SERVICES","2.000000000","2.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.955","XIT49558"
"207596","ATEN-VE800A","SECUREX SYSTEMS & SERVICES","2.000000000","24.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.967",
"207596","HIK-DS-2CD2765G0-IZS","SECUREX SYSTEMS & SERVICES","6.000000000","6.0","338.0","0.0","338.0","10","25","10","10","2020-09-01 15:05:53.994","d41686808 / d41686784 / e21989038 / e21989063 / D41686878 / D41686744 / e21989022 / E21989030 / e21989058 / d54397542 / d54397628 / d54397701 / e21989043 / e21989047 / e21989035 / e21989107 / E21989023 / e21989018 / d41686866 / D54397534 / "
"207596","HIK-DS-2CD2765G0-IZS","SECUREX SYSTEMS & SERVICES","1.000000000","6.0","338.0","0.0","338.0","10","25","5","10","2020-09-01 15:05:53.994","d41686808 / d41686784 / e21989038 / e21989063 / D41686878 / D41686744 / e21989022 / E21989030 / e21989058 / d54397542 / d54397628 / d54397701 / e21989043 / e21989047 / e21989035 / e21989107 / E21989023 / e21989018 / d41686866 / D54397534 / "
"207596","HIK-DS-6716HWI-SATA","SECUREX SYSTEMS & SERVICES","1.000000000","0.0","0.0","0.0","0.0","10","25","5","10","2020-09-01 15:05:54.009","HIK49675"
"207596","ION-F16-2000A","SECUREX SYSTEMS & SERVICES","1.000000000","15.0","8.0","0.0","8.0","10","25","11","10","2020-09-01 15:05:54.02",
"207596","ION-FEBM-720","SECUREX SYSTEMS & SERVICES","2.000000000","4.0","64.0","0.0","64.0","10","25","11","10","2020-09-01 15:05:54.031",
"207596","ION-F16-AS400","SECUREX SYSTEMS & SERVICES","1.000000000","5.0","40.0","12.0","52.0","20","25","30","10","2020-09-02 16:17:42.93",
"207596","BRA-1473ZJ-155B","SECUREX SYSTEMS & SERVICES","3.000000000","19.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.991",
"207596","ATEN-VE803","SECUREX SYSTEMS & SERVICES","1.000000000","1.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.919",
"207596","AT-x230-28GP","SECUREX SYSTEMS & SERVICES","1.000000000","4.0","0.0","0.0","0.0","10","25","10","10","2020-09-01 15:05:53.941",
"207596","HIK-DS-9632NI-I8","SECUREX SYSTEMS & SERVICES","1.000000000","1.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.906","T8626"
"207596","HDD-WD-P-8TB","SECUREX SYSTEMS & SERVICES","3.000000000","6.0","0.0","0.0","0.0","20","25","30","10","2020-09-02 16:17:42.979",
"207596","ATEN-CL6708MW","SECUREX SYSTEMS & SERVICES","1.000000000","0.0","1.0","0.0","1.0","10","25","5","10","2020-09-01 15:05:54.053",
"208275","SONY-SNC-WR632C","GLOBAL COMMUNICATION SERVICES","4.000000000","0.0","4.0","0.0","4.0","10","25","5","10","2020-08-26 16:02:34.74",
"208275","SONY-UNI-WMB2P/T","GLOBAL COMMUNICATION SERVICES","1.000000000","1.0","3.0","0.0","3.0","20","25","30","10","2020-08-26 16:02:35.131",
"208275","SONY-UNI-WMB2P/T","GLOBAL COMMUNICATION SERVICES","3.000000000","1.0","3.0","0.0","3.0","20","25","5","10","2020-08-26 16:02:35.131",
"208374","AX-Q6010-E-50HZ","ROCK & WIRE PTY LTD","1.000000000","0.0","1.0","0.0","1.0","10","25","5","10","2020-08-28 16:40:16.449",
"208497","HIK-DS-2CD2765G1-IZS","BLUE FORCE PTY LTD","4.000000000","134.0","112.0","80.0","192.0","20","25","30","10","2020-08-26 10:03:28.424",
"208497","BRA-1473ZJ-155","BLUE FORCE PTY LTD","4.000000000","51.0","32.0","0.0","32.0","20","25","30","10","2020-08-26 10:03:28.435",
"208513","MILE-PLUS-PRO-XPPPLUSBL","TECH WEST",,"0.0","0.0","0.0","0.0","10","25",,"12","2020-08-28 11:07:25.117",
"208513","MILE-PLUS-PRO-XPPPLUSDL","TECH WEST",,"0.0","0.0","0.0","0.0","10","25",,"12","2020-08-28 11:07:25.123",
"208513","MILE-PLUS-PRO-YXPPPLUSDL","TECH WEST",,"0.0","0.0","0.0","0.0","10","25",,"12","2020-08-28 11:07:25.129",
"208513","DELL-SERVER-R540-26452862-1","TECH WEST","1.000000000","0.0","1.0","0.0","1.0","10","25","5","10","2020-08-28 11:07:25.104","49541"
"208853","HIK-DS-KAB671-B","21ST CENTURY BUSINESS",,"0.0","3.0","0.0","3.0","10","25",,"12","2020-08-27 16:41:38.897",
"208898","HIK-DS-7604NI-K1-4P-2TB","COURT SECURITY",,"30.0","28.0","0.0","28.0","10","20",,"20","2020-07-28 13:29:02.765","incorrect pricing"
"208898","HIK-DS-2CD2385G1-I-2","COURT SECURITY",,"82.0","270.0","0.0","270.0","10","20",,"20","2020-07-28 13:29:02.787","Incorrect pricing"
"208898","HIK-DS-2CD2385G1-I-4","COURT SECURITY",,"33.0","0.0","0.0","0.0","10","20",,"20","2020-07-28 13:29:02.804","Incorrect pricing"
"209020","PL-MGBTSX","PRESTIGE ALARMS",,"1.0","0.0","0.0","0.0","10","25",,"12","2020-07-29 12:36:03.265",
"209443 - Lucent","HIK-DS-KD-ACF3","BLUE FORCE PTY LTD","1.000000000","1.0","4.0","0.0","4.0","20","25","30","10","2020-09-01 13:40:55.426",
"209443 - Lucent","HIK-DS-KD8003-IME1","BLUE FORCE PTY LTD","1.000000000","8.0","21.0","0.0","21.0","20","25","30","10","2020-09-01 13:40:55.439",
"209443 - Lucent","HIK-DS-KD-DIS","BLUE FORCE PTY LTD","1.000000000","4.0","8.0","0.0","8.0","20","25","30","10","2020-09-01 13:40:55.452",
"209443 - Lucent","HIK-DS-KD-KP","BLUE FORCE PTY LTD","1.000000000","18.0","18.0","0.0","18.0","20","25","30","10","2020-09-01 13:40:55.459",
"209443 - Lucent","HIK-DS-KH6320-WTE1-WHITE","BLUE FORCE PTY LTD","20.000000000","61.0","20.0","0.0","20.0","20","25","40","10","2020-09-01 13:40:55.595",
"209443 - Lucent","HIK-DS-KH6320-WTE1-WHITE","BLUE FORCE PTY LTD","19.000000000","61.0","20.0","0.0","20.0","20","25","30","10","2020-09-01 13:40:55.595",
"209443 - Lucent","DLINK-DES-F1010P-E","BLUE FORCE PTY LTD","7.000000000","34.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.571",
"209443 - Lucent","DLINK-DES-F1006P-E","BLUE FORCE PTY LTD","1.000000000","5.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.472",
"209443 - Lucent","HIK-DS-K2210","BLUE FORCE PTY LTD","2.000000000","9.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.547",
"209443 - Lucent","HIK-DS-K2M0016A","BLUE FORCE PTY LTD","2.000000000","9.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.559",
"209443 - Lucent","POW32","BLUE FORCE PTY LTD","1.000000000","1.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.534",
"209443 - Lucent","POW32","BLUE FORCE PTY LTD","1.000000000","1.0","0.0","0.0","0.0","20","25","5","10","2020-09-01 13:40:55.534",
"209443 - Lucent","HIK-DS-9632NI-I8-4TB","BLUE FORCE PTY LTD","1.000000000","8.0","2.0","0.0","2.0","20","25","30","10","2020-09-01 13:40:55.485","E47052237"
"209443 - Lucent","HIK-DS-2CD2555FWD-I-2","BLUE FORCE PTY LTD","1.000000000","53.0","60.0","0.0","60.0","20","25","30","10","2020-09-01 13:40:55.51","E42201281"
"209443 - Lucent","HDD-WD-P-4TB","BLUE FORCE PTY LTD","1.000000000","21.0","0.0","0.0","0.0","20","25","30","10","2020-09-01 13:40:55.497",
"209443 - Lucent","HIK-DS-3E1326P-E","BLUE FORCE PTY LTD","1.000000000","7.0","10.0","0.0","10.0","20","25","30","10","2020-09-01 13:40:55.522","10015020938
"
