num,productNum,billToName,qty,qtyonhand,qtyonorderpo,qtyonorderto,qtyonordertotal,soitemstatusId,sostatusId,pickitemstatusId,soitemtypeId,dateLastModified
209521,HIK-DS-K2M0016A,BLUE FORCE PTY LTD,2,8,0,0,0,20,25,30,10,21/08/2020
209521,POW32,BLUE FORCE PTY LTD,2,1,0,0,0,10,25,5,10,21/08/2020
209521,DLINK-DES-F1010P-E,BLUE FORCE PTY LTD,9,34,0,0,0,20,25,30,10,21/08/2020
209521,DLINK-DES-F1006P-E,BLUE FORCE PTY LTD,1,5,0,0,0,20,25,30,10,21/08/2020
209568,HIK-DS-7608NI-I2-8P-3TB,CORPCLOUD PTY LTD,1,8,128,12,140,10,20,10,10,4/08/2020
209568,HIK-DS-2CD2365G1-I-2,CORPCLOUD PTY LTD,8,740,270,0,270,10,20,10,10,4/08/2020
209568,HIK-AL-PWA32-KS,CORPCLOUD PTY LTD,1,9,20,0,20,10,20,10,10,4/08/2020
209568,HIK-AL-PD2-P10P-W,CORPCLOUD PTY LTD,7,34,0,0,0,10,20,10,10,4/08/2020
209568,HIK-AL-PD1-MC-WWS,CORPCLOUD PTY LTD,16,53,5,0,5,10,20,10,10,4/08/2020
209568,HIK-AL-PSG-WO-KIT,CORPCLOUD PTY LTD,,,,,,10,20,,80,4/08/2020
209568,HIK-AL-PSG-WO,CORPCLOUD PTY LTD,1,,,,,10,20,10,10,4/08/2020
209568,BAT22L,CORPCLOUD PTY LTD,3,29,0,0,0,10,20,10,10,4/08/2020
209568,HIK-AL-PSG-WI-KIT,CORPCLOUD PTY LTD,,,,,,10,20,,80,4/08/2020
209568,HIK-AL-PSG-WI,CORPCLOUD PTY LTD,1,,,,,10,20,10,10,4/08/2020
209568,BAT22L,CORPCLOUD PTY LTD,3,29,0,0,0,10,20,10,10,4/08/2020
209568,HIK-DS-KD-ACW1,CORPCLOUD PTY LTD,1,7,15,0,15,10,20,10,10,4/08/2020
209568,HIK-DS-KD8003-IME1,CORPCLOUD PTY LTD,1,7,23,0,23,10,20,10,10,4/08/2020
209568,HIK-DS-3E0105P-E,CORPCLOUD PTY LTD,1,14,100,0,100,10,20,10,10,4/08/2020
209568,HIK-DS-KH6320-WTE1-BLACK,CORPCLOUD PTY LTD,1,31,100,0,100,10,20,10,10,4/08/2020
209568,CABL40-GREY,CORPCLOUD PTY LTD,2,46,0,0,0,10,20,10,10,4/08/2020
209580,HIK-DS-KIS602,Monitored Security,1,1,62,0,62,20,25,30,10,25/08/2020
209587,AX-T8640-POE+-OVER-COAX-ADAP,MPE TECHNOLOGIES,1,1,0,0,0,20,25,30,10,26/08/2020
210045,DELL-KMM-DKMMLED185,BLUE FORCE PTY LTD,1,,,,,10,20,5,10,11/03/2020
210096,NAS-SYNOLOGY-RS217,SECUREX SYSTEMS & SERVICES,1,0,0,0,0,10,20,5,10,10/08/2020
210120,AX-M3205,MCS SECURITY,1,2,0,0,0,20,25,30,10,26/08/2020
210256,AX-T8144-60W-INDUSTRIAL-MIDSPAN,SEME SOLUTIONS PTY LTD,1,0,1,0,1,10,20,5,10,11/08/2020
210256,AX-MAINS-ADAPTER-48V-DC-90W,SEME SOLUTIONS PTY LTD,1,0,1,0,1,10,20,5,10,11/08/2020
210475,AT-FS750/28PS,SAPIO PTY LTD,1,0,5,0,5,10,20,5,10,21/08/2020
210527,AT-FS750/28PS,SAPIO PTY LTD,1,0,5,0,5,10,20,5,10,21/08/2020
210528,HDD-SG-ST2000NM0008,SAPIO PTY LTD,1,0,1,0,1,10,20,10,10,25/08/2020
210590,AT-FS750/28PS,SAPIO PTY LTD,1,0,5,0,5,10,20,10,10,21/08/2020
210592,TVI-2CE78H8T-IT1F,MJH ELECTRICAL,2,5,40,0,40,10,20,11,10,14/08/2020
210595,AT-FS750/28PS,SAPIO PTY LTD,1,0,5,0,5,10,20,5,10,21/08/2020
210785,HIK-DS-2XM6222FWD-I-4,RADIO COMMUNICATIONS TECHNOLOGY,38,0,40,0,40,10,20,5,10,24/08/2020
210906,HDD-WD-P-3TB,NOMINEES PTY LTD T/A NORTH STAR SECURITY,,38,4,0,4,10,25,,20,20/08/2020
210988,AT-FS750/28PS,SAPIO PTY LTD,1,0,5,0,5,10,20,5,10,21/08/2020
210995,RACK36,SAPIO PTY LTD,1,7,0,0,0,20,25,30,10,26/08/2020
210997,RACK36,SAPIO PTY LTD,1,7,0,0,0,20,25,30,10,26/08/2020
210998,RACK36,SAPIO PTY LTD,1,7,0,0,0,20,25,30,10,26/08/2020
210999,RACK36,SAPIO PTY LTD,1,7,0,0,0,20,25,30,10,26/08/2020
211000,RACK36,SAPIO PTY LTD,1,7,0,0,0,20,25,30,10,26/08/2020
211124,BRA-1473ZJ-155,BLUE FORCE PTY LTD,1,33,52,0,52,10,20,10,10,21/08/2020
211124,ION-FEBM-720,BLUE FORCE PTY LTD,1,0,64,24,88,10,20,10,10,21/08/2020
211124,HIK-DS-2CD2765G1-IZS,BLUE FORCE PTY LTD,1,140,112,0,112,10,20,10,10,21/08/2020
211124,DELL-WORKSTATION-T3630-WESTFIELD,BLUE FORCE PTY LTD,1,0,1,0,1,10,20,10,10,21/08/2020
211140,HIK-DS-2DF8436IX-AELW,KCGM,1,0,0,1,1,10,20,5,10,20/08/2020
211140,BRA-1602ZJ,KCGM,1,24,0,0,0,10,20,10,10,20/08/2020
211140,BRA-1604ZJ-BOX,KCGM,1,5,0,0,0,10,20,10,10,20/08/2020
211441,HIK-DS-2XM6756FWD-IS-2,ASHLEY GROUP,24,0,8,0,8,10,25,5,10,25/08/2020
211441,HIK-DS-MP5604N,ASHLEY GROUP,3,4,11,0,11,20,25,30,10,25/08/2020
211441,HIK-DS-MP5604N,ASHLEY GROUP,1,4,11,0,11,20,25,10,10,25/08/2020
211441,HIK-DS-MP5604N,ASHLEY GROUP,6,4,11,0,11,20,25,5,10,25/08/2020
211475,HIK-DS-2CD2346G2-ISU/SL-2,BELLZ ELECTRONICS SECURITY,1,2,48,0,48,20,25,30,10,26/08/2020
211478,HIK-DS-KD-IN,NOMINEES PTY LTD T/A NORTH STAR SECURITY,1,1,0,0,0,10,25,10,10,25/08/2020
211568,HIK-DS-2DE4425IW-DE,REMOTE POWER SOLUTIONS,1,1,27,0,27,20,25,30,10,26/08/2020
211568,BRA-1602ZJ,REMOTE POWER SOLUTIONS,1,24,0,0,0,20,25,30,10,26/08/2020
211568,HIK-DS-2CD2365G1-I-2,REMOTE POWER SOLUTIONS,1,740,270,0,270,20,25,30,10,26/08/2020
211568,BRA-1275ZJ,REMOTE POWER SOLUTIONS,1,20,60,0,60,20,25,30,10,26/08/2020
211568,HIK-DS-2CD2T65G1-I5-2.8,REMOTE POWER SOLUTIONS,2,7,26,0,26,20,25,30,10,26/08/2020
211568,BRA-1275ZJ,REMOTE POWER SOLUTIONS,2,20,60,0,60,20,25,30,10,26/08/2020
211568,HIK-DS-7608NI-I2-8P-3TB,REMOTE POWER SOLUTIONS,1,8,128,12,140,20,25,30,10,26/08/2020
211570L,HIK-DS-2CD2555FWD-I-2,Intruder Stop,1,35,80,0,80,20,25,30,10,25/08/2020
211593,HIK-DS-7616NI-I2-16P-3TB,NIDA,1,19,44,0,44,20,25,30,10,26/08/2020
211593,HIK-DS-2CD2347G1-L-2.8,NIDA,10,30,180,0,180,20,25,30,10,26/08/2020
211625,HIK-DS-2CD2665G1-IZS,SECURUS,1,36,158,0,158,20,25,30,10,26/08/2020
211635,HIK-DS-KAB21-H,SEME SOLUTIONS PTY LTD,1,0,0,0,0,10,20,5,10,26/08/2020
211635,FREIGHT,SEME SOLUTIONS PTY LTD,1,0,1,0,1,10,20,10,10,26/08/2020
211649,HIK-DS-2CD2765G1-IZS,BLUE FORCE PTY LTD,19,140,112,0,112,20,25,30,10,26/08/2020
211664,HIK-DS-3E0105P-E,POWERCARE (WA) PTY LTD,1,14,100,0,100,10,20,10,10,26/08/2020
211706,TP-TL-POE150S,PMT SECURITY SYSTEMS PTY LTD,1,1,15,0,15,10,20,10,10,26/08/2020
211706,TP-TL-POE150S,PMT SECURITY SYSTEMS PTY LTD,4,1,15,0,15,10,20,5,10,26/08/2020
211731,HIK-DS-2CD2165G0-I-2,HI TECH SECURITY WA PTY LTD,6,195,0,0,0,20,25,30,10,26/08/2020
211731,BRA-1280ZJ-DM18,HI TECH SECURITY WA PTY LTD,4,28,40,0,40,20,25,30,10,26/08/2020
211731,FREIGHT,HI TECH SECURITY WA PTY LTD,1,0,1,0,1,10,25,10,10,26/08/2020
211734,HIK-1H05-R,SEME SOLUTIONS PTY LTD,1,0,0,1,1,10,20,10,10,26/08/2020
211734,HIK-1H05-T,SEME SOLUTIONS PTY LTD,1,0,0,1,1,10,20,10,10,26/08/2020
211734,FREIGHT,SEME SOLUTIONS PTY LTD,1,0,1,0,1,10,20,10,10,26/08/2020
211736,ATEN-VE800A,SEME SOLUTIONS PTY LTD,1,25,0,0,0,10,20,10,10,26/08/2020
211736,FREIGHT,SEME SOLUTIONS PTY LTD,1,0,1,0,1,10,20,10,10,26/08/2020
211738,AT-x510-52GPX,SAPIO PTY LTD,1,0,0,0,0,10,20,5,10,26/08/2020
211740,HIK-DS-2CD2365G1-I-2,SECURUS,2,740,270,0,270,20,25,30,10,26/08/2020
211743,HIK-DS-7604NI-K1-4P-3TB,AUSTECH SURVEILLANCE & IT PTY LTD,1,26,36,0,36,20,25,30,10,26/08/2020
211743,HIK-DS-2CD2365G1-I-2,AUSTECH SURVEILLANCE & IT PTY LTD,3,740,270,0,270,20,25,30,10,26/08/2020
211745,BAT-12V-18AH,SAPIO PTY LTD,8,8,0,0,0,10,20,10,10,26/08/2020
